timestamp,tx0_k0,tx0_k1,tx0_k2,tx0_k3,tx0_k4,tx1_k0,tx1_k1,tx1_k2,tx1_k3,tx1_k4,tx2_k0,tx2_k1,tx2_k2,tx2_k3,tx2_k4,tx3_k0,tx3_k1,tx3_k2,tx3_k3,tx3_k4,tx4_k0,tx4_k1,tx4_k2,tx4_k3,tx4_k4,tx5_k0,tx5_k1,tx5_k2,tx5_k3,tx5_k4,tx6_k0,tx6_k1,tx6_k2,tx6_k3,tx6_k4,tx7_k0,tx7_k1,tx7_k2,tx7_k3,tx7_k4
1777273598.554019,0.197700,0.092400,0.066600,0.030100,0.178300,0.595100,0.268600,0.045100,0.049400,0.122500,0.287900,0.040800,0.008600,0.019300,0.070900,0.055900,0.038700,0.032200,0.017200,0.242800,0.079500,0.027900,0.034400,0.255700,0.562900,0.197700,0.032200,0.060200,0.060200,0.253500,0.197700,0.053700,0.062300,0.081600,0.197700,0.223400,0.053700,0.053700,0.103100,0.182600
1777273599.038798,0.197700,0.092400,0.066600,0.030100,0.178300,0.597300,0.275000,0.036500,0.036500,0.124600,0.290000,0.036500,0.019300,0.032200,0.060200,0.058000,0.021500,0.034400,0.043000,0.242800,0.085900,0.025800,0.034400,0.260000,0.567200,0.197700,0.032200,0.058000,0.051600,0.253500,0.197700,0.053700,0.060200,0.081600,0.195500,0.221300,0.058000,0.049400,0.103100,0.182600
1777273599.522484,0.197700,0.090200,0.064500,0.027900,0.178300,0.597300,0.277100,0.049400,0.017200,0.118200,0.287900,0.027900,0.027900,0.030100,0.055900,0.064500,0.019300,0.025800,0.021500,0.240600,0.090200,0.034400,0.034400,0.253500,0.573600,0.197700,0.032200,0.055900,0.053700,0.253500,0.199800,0.055900,0.062300,0.081600,0.195500,0.221300,0.060200,0.055900,0.103100,0.182600
1777273600.006479,0.197700,0.090200,0.062300,0.027900,0.178300,0.597300,0.268600,0.051600,0.021500,0.111700,0.283600,0.055900,0.025800,0.023600,0.060200,0.049400,0.040800,0.012900,0.036500,0.244900,0.081600,0.030100,0.036500,0.257800,0.569300,0.197700,0.032200,0.051600,0.051600,0.253500,0.197700,0.055900,0.058000,0.081600,0.195500,0.221300,0.058000,0.049400,0.101000,0.182600
1777273600.490199,0.195500,0.090200,0.064500,0.030100,0.178300,0.590800,0.270700,0.045100,0.023600,0.107400,0.287900,0.017200,0.019300,0.047300,0.075200,0.058000,0.017200,0.008600,0.017200,0.242800,0.079500,0.045100,0.043000,0.257800,0.565000,0.197700,0.030100,0.049400,0.053700,0.253500,0.197700,0.053700,0.058000,0.081600,0.197700,0.223400,0.058000,0.053700,0.103100,0.182600
1777273600.974586,0.197700,0.092400,0.064500,0.030100,0.178300,0.593000,0.272900,0.034400,0.025800,0.118200,0.287900,0.043000,0.010700,0.021500,0.062300,0.062300,0.021500,0.017200,0.034400,0.242800,0.085900,0.032200,0.034400,0.260000,0.560700,0.197700,0.032200,0.055900,0.062300,0.253500,0.199800,0.053700,0.060200,0.081600,0.195500,0.221300,0.055900,0.058000,0.103100,0.182600
1777273601.457045,0.197700,0.092400,0.064500,0.030100,0.178300,0.597300,0.272900,0.045100,0.032200,0.116000,0.287900,0.036500,0.043000,0.030100,0.060200,0.058000,0.032200,0.015000,0.045100,0.236300,0.085900,0.027900,0.032200,0.251400,0.569300,0.197700,0.030100,0.053700,0.060200,0.251400,0.197700,0.053700,0.062300,0.081600,0.197700,0.223400,0.055900,0.058000,0.103100,0.184800
1777273601.939662,0.197700,0.092400,0.064500,0.030100,0.178300,0.599400,0.268600,0.032200,0.021500,0.111700,0.285700,0.049400,0.017200,0.023600,0.060200,0.049400,0.008600,0.019300,0.032200,0.242800,0.081600,0.036500,0.030100,0.247100,0.569300,0.197700,0.032200,0.051600,0.055900,0.253500,0.197700,0.055900,0.055900,0.081600,0.195500,0.221300,0.055900,0.049400,0.103100,0.184800
1777273602.426110,0.197700,0.090200,0.064500,0.030100,0.178300,0.593000,0.270700,0.047300,0.025800,0.107400,0.290000,0.045100,0.010700,0.038700,0.075200,0.055900,0.023600,0.025800,0.015000,0.242800,0.077300,0.043000,0.043000,0.257800,0.565000,0.197700,0.032200,0.049400,0.053700,0.251400,0.197700,0.055900,0.058000,0.079500,0.195500,0.223400,0.058000,0.053700,0.101000,0.182600
1777273602.910466,0.197700,0.092400,0.064500,0.030100,0.178300,0.595100,0.272900,0.038700,0.032200,0.120300,0.287900,0.017200,0.032200,0.036500,0.070900,0.055900,0.036500,0.038700,0.034400,0.247100,0.079500,0.032200,0.032200,0.257800,0.562900,0.197700,0.030100,0.047300,0.051600,0.251400,0.197700,0.053700,0.058000,0.079500,0.195500,0.223400,0.060200,0.051600,0.103100,0.182600
